0.16, 7317973.45
0.17, 7537648.06
0.17, 7763506.48
0.18, 7995287.03
0.19, 8234858.16
0.19, 8481607.82
0.20, 8735289.23
0.20, 8997509.53
0.21, 9269071.41
0.21, 9548072.26
0.21, 9836251.16
0.22, 10132592.11
0.22, 10438412.92
0.22, 10752895.45
0.23, 11078609.64
0.23, 11413888.24
0.23, 11759313.58
0.23, 12115513.01
0.23, 12482172.04
0.24, 12860267.47
0.24, 13250516.28
0.24, 13653329.18
0.24, 14068387.51
0.24, 14496063.53
0.24, 14935951.08
0.24, 15389187.17
0.24, 15857853.63
0.24, 16340792.99
0.24, 16837994.78
0.23, 17351242.31
0.23, 17878716.42
0.23, 18423686.73
0.23, 18984264.79
0.23, 19563451.05
0.23, 20159774.62
0.23, 20774824.23
0.23, 21408072.28
0.23, 22061205.89
0.22, 22733664.80
0.22, 23427859.92
0.22, 24141976.51
0.22, 24879175.84
0.22, 25638208.50
0.22, 26421096.76
0.21, 27227171.51
0.21, 28058580.34
0.21, 28916141.50
0.21, 29799912.50
0.21, 30710694.40
0.20, 31650149.45
0.20, 32617480.60
0.20, 33615265.17
0.20, 34642656.61
0.19, 35702392.30
0.19, 36794545.81
0.19, 37920108.83
0.19, 39081136.51
0.18, 40275582.70
0.18, 41508729.64
0.18, 42779632.75
0.18, 44088282.48
0.17, 45438165.64
0.17, 46829379.16
0.17, 48261912.60
0.17, 49739582.84
0.17, 51262495.99
0.16, 52833433.98
0.16, 54452513.33
0.16, 56119725.72
0.16, 57839513.40
0.15, 59610428.04
0.15, 61438812.40
0.15, 63321603.37
0.15, 65263817.72
0.14, 67267382.37
0.14, 69332455.40
0.14, 71459035.95
0.13, 73648896.44
0.13, 75911885.36
0.13, 78242340.05
0.13, 80644338.47
0.12, 83120076.97
0.12, 85669554.52
0.12, 88299564.50
0.12, 91015126.43
0.11, 93129235.54
